ticker,name,premium_code,free_code
DDD,3D Systems Corporation,EOD/DDD,GOOG/NYSE_DDD
MMM,3M Company,EOD/MMM,GOOG/NYSE_MMM
WBAI,500.com Limited,EOD/WBAI,
WUBA,58.com Inc.,EOD/WUBA,GOOG/NYSE_WUBA
AHC,A.H. Belo Corporation,EOD/AHC,GOOG/NYSE_AHC
ATEN,A10 Networks,EOD/ATEN,
AAC,AAC Holdings,EOD/AAC,
AIR,AAR Corp.,EOD/AIR,GOOG/NYSE_AIR
AAN,Aaron&#39;s,EOD/AAN,GOOG/NYSE_AAN
ABB,ABB Ltd,EOD/ABB,GOOG/NYSE_ABB
ABT,Abbott Laboratories,EOD/ABT,GOOG/NYSE_ABT
ABBV,AbbVie Inc.,EOD/ABBV,GOOG/NYSE_ABBV
ANF,Abercrombie & Fitch Company,EOD/ANF,GOOG/NYSE_ANF
GCH,Aberdeen Greater China Fund,EOD/GCH,GOOG/NYSE_GCH
JEQ,Aberdeen Japan Equity Fund,EOD/JEQ,GOOG/NYSE_JEQ
SGF,Aberdeen Singapore Fund,EOD/SGF,GOOG/NYSE_SGF
ABM,ABM Industries Incorporated,EOD/ABM,GOOG/NYSE_ABM
AKR,Acadia Realty Trust,EOD/AKR,GOOG/NYSE_AKR
ACN,Accenture plc.,EOD/ACN,GOOG/NYSE_ACN
ACCO,Acco Brands Corporation,EOD/ACCO,GOOG/NYSE_ACCO
ACW,Accuride Corporation New,EOD/ACW,GOOG/NYSE_ACW
ACE,Ace Limited,EOD/ACE,GOOG/NYSE_ACE
ATV,Acorn International,EOD/ATV,GOOG/NYSE_ATV
ATU,Actuant Corporation,EOD/ATU,GOOG/NYSE_ATU
AYI,Acuity Brands Inc,EOD/AYI,GOOG/NYSE_AYI
ADX,Adams Diversified Equity Fund,EOD/ADX,GOOG/NYSE_ADX
PEO,Adams Natural Resources Fund,EOD/PEO,GOOG/NYSE_PEO
AGRO,Adecoagro S.A.,EOD/AGRO,GOOG/NYSE_AGRO
ADPT,Adeptus Health Inc.,EOD/ADPT,
ADT,ADT Corporation,EOD/ADT,GOOG/NYSE_ADT
AAP,Advance Auto Parts Inc,EOD/AAP,GOOG/NYSE_AAP
WMS,Advanced Drainage Systems,EOD/WMS,GOOG/NYSE_WMS
ASX,Advanced Semiconductor Engineering,EOD/ASX,GOOG/NYSE_ASX
AAV,Advantage Oil & Gas Ltd,EOD/AAV,GOOG/NYSE_AAV
ATE,Advantest Corporation (Kabushiki Kaisha Advantest) ADS,EOD/ATE,GOOG/NYSE_ATE
AVK,Advent Claymore Convertible Securities and Income Fund,EOD/AVK,GOOG/NYSE_AVK
AGC,Advent Claymore Convertible Securities and Income Fund II,EOD/AGC,GOOG/NYSE_AGC
LCM,Advent/Claymore Enhanced Growth & Income Fund,EOD/LCM,GOOG/NYSE_LCM
ACM,AECOM,EOD/ACM,GOOG/NYSE_ACM
ANW,Aegean Marine Petroleum Network Inc.,EOD/ANW,GOOG/NYSE_ANW
AEB,Aegon NV,EOD/AEB,GOOG/NYSE_AEB
AED,Aegon NV,EOD/AED,GOOG/NYSE_AED
AEG,Aegon NV,EOD/AEG,GOOG/NYSE_AEG
AEH,Aegon NV,EOD/AEH,GOOG/NYSE_AEH
AEK,Aegon NV,EOD/AEK,
AER,Aercap Holdings N.V.,EOD/AER,GOOG/NYSE_AER
HIVE,Aerohive Networks,EOD/HIVE,
AJRD,Aerojet Rocketdyne Holdings,EOD/AJRD,
ARO,Aeropostale Inc,EOD/ARO,GOOG/NYSE_ARO
AET,Aetna Inc.,EOD/AET,GOOG/NYSE_AET
AMG,Affiliated Managers Group,EOD/AMG,GOOG/NYSE_AMG
MGR,Affiliated Managers Group,EOD/MGR,
AFL,Aflac Incorporated,EOD/AFL,GOOG/NYSE_AFL
AFSD,Aflac Incorporated,EOD/AFSD,
MITT,AG Mortgage Investment Trust,EOD/MITT,GOOG/NYSE_MITT
MITT_A,AG Mortgage Investment Trust,,
MITT_B,AG Mortgage Investment Trust,,
AGCO,AGCO Corporation,EOD/AGCO,GOOG/NYSE_AGCO
A,Agilent Technologies,EOD/A,GOOG/NYSE_A
GAS,AGL Resources,EOD/GAS,GOOG/NYSE_GAS
AEM,Agnico Eagle Mines Limited,EOD/AEM,GOOG/NYSE_AEM
ADC,Agree Realty Corporation,EOD/ADC,GOOG/NYSE_ADC
GRO,Agria Corporation,EOD/GRO,GOOG/NYSE_GRO
AGU,Agrium Inc.,EOD/AGU,GOOG/NYSE_AGU
AL,Air Lease Corporation,EOD/AL,GOOG/NYSE_AL
APD,Air Products and Chemicals,EOD/APD,GOOG/NYSE_APD
AYR,Aircastle Limited,EOD/AYR,GOOG/NYSE_AYR
ARG,Airgas,EOD/ARG,GOOG/NYSE_ARG
AKS,AK Steel Holding Corporation,EOD/AKS,GOOG/NYSE_AKS
ALP_O,Alabama Power Company,,GOOG/NYSE_ALP_O
