ticker,name,premium_code,free_code
MMM,3M,EOD/MMM,WIKI/MMM
AXP,American Express,EOD/AXP,WIKI/AXP
AAPL,Apple,EOD/AAPL,WIKI/AAPL
BA,Boeing,EOD/BA,WIKI/BA
CAT,Caterpillar,EOD/CAT,WIKI/CAT
CVX,Chevron,EOD/CVX,WIKI/CVX
CSCO,Cisco Systems,EOD/CSCO,WIKI/CSCO
KO,Coca-Cola,EOD/KO,WIKI/KO
DD,DuPont,EOD/DD,WIKI/DD
XOM,ExxonMobil,EOD/XOM,WIKI/XOM
GE,General Electric,EOD/GE,WIKI/GE
GS,Goldman Sachs,EOD/GS,WIKI/GS
HD,The Home Depot,EOD/HD,WIKI/HD
INTC,Intel,EOD/INTC,WIKI/INTC
IBM,IBM,EOD/IBM,WIKI/IBM
JNJ,Johnson & Johnson,EOD/JNJ,WIKI/JNJ
JPM,JPMorgan Chase,EOD/JPM,WIKI/JPM
MCD,McDonald's,EOD/MCD,WIKI/MCD
MRK,Merck,EOD/MRK,WIKI/MRK
MSFT,Microsoft,EOD/MSFT,WIKI/MSFT
NKE,Nike,EOD/NKE,WIKI/NKE
PFE,Pfizer,EOD/PFE,WIKI/PFE
PG,Procter & Gamble,EOD/PG,WIKI/PG
TRV,Travelers,EOD/TRV,WIKI/TRV
UNH,UnitedHealth Group,EOD/UNH,WIKI/UNH
UTX,United Technologies,EOD/UTX,WIKI/UTX
VZ,Verizon,EOD/VZ,WIKI/VZ
V,Visa,EOD/V,WIKI/V
WMT,Wal-Mart,EOD/WMT,WIKI/WMT
DIS,Walt Disney,EOD/DIS,WIKI/DIS
